"CHARTER SCHOOL","School Administrators' Median Salary","Median Beginning Salary","Median Salary","Soc. Sec.","Retirement","Health Insurance","Dental Insurance","Life Insurance","Industrial Insurance","Unemployment Insurance","Long-Term Disability","Total Benefits","Total Compensation"
"Academy for Math Engineering & Science (AMES)","$90 000,00",,"$45 907,00","$3 587,00","$8 354,00","$11 230,00","$480,00","$119,00","$188,00","$188,00","$281,00","$24 426,00","$70 334,00"
"American Leadership Academy","$88 166,00","$31 500,00","$32 546,00","$2 685,00","$5 518,00","$9 909,00","$502,00","$0,00","$182,00","$35,00","$0,00","$18 831,00","$51 377,00"
"American Preparatory Academy","$40 000,00","$32 407,00","$32 407,00","$2 568,00","$5 277,00","$3 273,00","$299,00","$35,00","$121,00","$34,00","$44,00","$11 650,00","$44 057,00"
"Bear River Charter School",,"$34 500,00","$35 000,00","$2 616,00","$2 394,00","$6 796,00","$924,00","$0,00","$99,00","$684,00","$0,00","$13 513,00","$48 513,00"
"Beehive Science & Technology Academy (bs",,"$32 778,00","$33 706,00","$2 585,00","$0,00","$3 486,00","$0,00","$0,00","$0,00","$334,00","$0,00","$6 405,00","$40 111,00"
"Canyon Rim Academy","$70 000,00","$35 650,00","$37 175,00",,,,,,,,,"$0,00","$37 175,00"
"Channing Hall","$69 720,00","$32 500,00","$36 347,00","$2 866,00","$2 327,00","$3 837,00","$388,00","$60,00","$120,00","$105,00","$0,00","$9 703,00","$46 050,00"
"City Academy","$53 033,00","$32 200,00","$34 250,00","$2 876,00","$1 504,00","$5 638,00","$0,00","$0,00","$124,00","$38,00","$0,00","$10 179,00","$44 429,00"
"C.S. Lewis Academy",,"$30 000,00","$32 000,00","$2 343,00","$0,00","$6 944,00","$0,00","$0,00","$0,00","$31,00","$0,00","$9 318,00","$41 318,00"
"Da Vinci Academy","$57 525,00","$33 000,00","$39 850,00","$2 995,00","$0,00","$5 764,00","$591,00","$78,00","$114,00","$940,00","$0,00","$10 481,00","$50 331,00"
"Dual Immersion Academy","$76 000,00","$35 000,00","$40 450,00","$2 976,00","$2 075,00","$2 575,00","$0,00","$0,00","$194,00","$297,00","$0,00","$8 118,00","$48 568,00"
"Early Light Academy at Daybreak","$70 000,00","$30 000,00","$34 500,00","$2 712,00","$0,00","$7 500,00","$0,00","$0,00","$92,00","$832,00","$0,00","$11 137,00","$45 637,00"
"East Hollywood High",,"$33 400,00","$33 000,00","$2 519,00","$5 176,00","$3 840,00","$242,00","$0,00","$210,00","$39,00","$0,00","$12 026,00","$45 026,00"
"Edith Bowen Laboratory School","$58 462,00",,"$46 592,00",,,,,,,,,"$0,00","$46 592,00"
"Entheos Academy",,"$27 701,00","$36 011,00","$2 823,00","$2 584,00","$6 293,00","$489,00","$29,00","$110,00","$131,00","$0,00","$12 460,00","$48 471,00"
"Excelsior Academy","$45 000,00","$32 200,00","$32 300,00","$2 504,00","$1 966,00","$6 000,00","$0,00","$36,00","$131,00","$589,00","$0,00","$11 227,00","$43 527,00"
"Fast Forward High","$53 846,00","$31 600,00","$33 321,00","$2 633,00","$5 410,00","$0,00","$0,00","$0,00","$0,00","$34,00","$0,00","$8 077,00","$41 397,00"
"Freedom Academy","$89 000,00","$32 347,00","$33 645,00","$2 858,00","$5 873,00","$11 682,00","$0,00","$8,00","$3 000,00","$37,00","$0,00","$23 458,00","$57 103,00"
"Gateway Preparatory Academy","$55 000,00","$28 700,00","$33 970,00","$2 542,00","$1 662,00","$4 800,00","$0,00","$0,00","$0,00","$665,00","$0,00","$9 669,00","$43 639,00"
"George Washington Academy","$44 774,00","$30 383,00","$31 930,00","$2 436,00","$1 835,00","$4 972,00","$0,00","$0,00","$114,00","$97,00","$0,00","$9 454,00","$41 384,00"
"Good Foundation Academy","$60 000,00","$32 000,00","$33 000,00","$2 606,00","$0,00","$7 067,00","$0,00","$26,00","$99,00","$409,00","$0,00","$10 207,00","$43 207,00"
"Guadalupe School","$70 560,00",,"$39 400,00","$3 441,00","$1 349,00","$4 004,00","$171,00","$224,00","$127,00","$99,00","$556,00","$9 972,00","$49 372,00"
"Hawthorn Academy","$51 840,00","$19 620,00","$32 960,00","$2 520,00","$0,00","$7 500,00","$0,00","$0,00","$86,00","$747,00","$0,00","$10 853,00","$43 813,00"
"Intech Collegiate High School","$86 733,00",,"$44 882,00","$3 310,00","$6 802,00","$3 852,00","$0,00","$0,00","$141,00","$423,00","$0,00","$14 527,00","$59 409,00"
"Itineris Early College High","$87 214,00","$35 720,00","$47 906,00","$3 599,00","$7 395,00","$8 820,00","$0,00","$0,00","$372,00","$47,00","$157,00","$20 389,00","$68 295,00"
"John Hancock Charter School","$68 057,00",,"$36 818,00","$2 882,00","$2 449,00","$12 430,00","$774,00","$89,00","$77,00","$58,00","$123,00","$18 881,00","$55 699,00"
"Karl G. Maeser Preparatory Academy","$50 000,00","$32 250,00","$32 500,00","$2 671,00","$1 397,00","$631,00","$0,00","$97,00","$71,00","$35,00","$90,00","$4 991,00","$37 491,00"
"Lakeview Academy","$70 500,00","$32 000,00","$34 990,00","$2 748,00","$2 515,00","$9 746,00","$763,00","$0,00","$181,00","$36,00","$0,00","$15 989,00","$50 979,00"
"Legacy Preparatory Academy","$62 842,00","$33 368,00","$33 368,00",,,,,,,,,"$0,00","$33 368,00"
"Liberty Academy","$105 914,00","$32 006,00","$33 333,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$33 333,00"
"Lincoln Academy","$62 500,00","$33 000,00","$34 000,00","$2 771,00","$563,00","$7 809,00","$576,00","$42,00","$80,00","$36,00","$90,00","$11 967,00","$45 967,00"
"Maria Montessori",,"$34 684,00","$34 900,00","$2 687,00","$0,00","$7 800,00","$0,00","$0,00","$91,00","$660,00","$0,00","$11 239,00","$46 139,00"
"Merit College Preparatory Academy","$79 086,00","$21 333,00","$33 150,00","$2 962,00","$1 866,00","$7 053,00","$882,00","$37,00","$0,00","$223,00","$0,00","$13 023,00","$46 173,00"
"Moab Community School","$55 000,00",,"$31 500,00","$2 410,00","$0,00","$3 000,00","$0,00","$0,00","$0,00","$32,00","$0,00","$5 441,00","$36 941,00"
"Monticello Academy",,"$33 500,00","$35 868,00","$2 852,00","$5 861,00","$10 133,00","$0,00","$0,00","$124,00","$37,00","$0,00","$19 008,00","$54 876,00"
"Mountainville Academy","$50 000,00","$27 160,00","$33 900,00","$2 638,00","$1 379,00","$8 010,00","$0,00","$0,00","$86,00","$34,00","$0,00","$12 148,00","$46 048,00"
"Navigator Pointe Academy","$90 700,00","$32 000,00","$34 200,00","$2 598,00","$1 019,00","$2 213,00","$0,00","$0,00","$136,00","$679,00","$0,00","$6 645,00","$40 845,00"
"No. UT Acad. for Math, Engineering & Science (NUAMES)","$94 000,00","$39 000,00","$45 800,00","$3 645,00","$7 490,00","$7 300,00","$970,00","$180,00","$300,00","$175,00","$201,00","$20 261,00","$66 061,00"
"Noah Webster Academy","$95 000,00","$33 000,00","$34 200,00","$2 684,00","$5 697,00","$3 659,00","$138,00","$28,00","$148,00","$233,00","$0,00","$12 589,00","$46 789,00"
"North Davis Preparatory Academy","$67 320,00","$34 873,00","$38 996,00","$3 015,00","$0,00","$8 400,00","$0,00","$0,00","$102,00","$891,00","$0,00","$12 408,00","$51 404,00"
"North Star Academy","$61 808,00","$34 252,00","$37 053,00","$3 056,00","$719,00","$6 900,00","$0,00","$0,00","$104,00","$898,00","$0,00","$11 676,00","$48 729,00"
"Odyssey Charter School","$40 000,00","$32 518,00","$34 043,00","$2 720,00","$711,00","$10 966,00","$0,00","$2,00","$252,00","$36,00","$0,00","$14 687,00","$48 730,00"
"Ogden Preparatory Academy","$63 381,00","$34 000,00","$37 486,00","$3 018,00","$20 782,00","$8 700,00","$0,00","$0,00","$103,00","$891,00","$0,00","$33 493,00","$70 979,00"
"Open Classroom","$76 919,00",,"$49 216,00",,,,,,,,,"$0,00","$49 216,00"
"Open High School Of Utah","$70 000,00","$28 000,00","$32 000,00","$2 199,00","$0,00","$8 700,00","$0,00","$0,00","$93,00","$773,00","$0,00","$11 765,00","$43 765,00"
"Oquirrh Mountain Charter School","$56 677,00","$33 500,00","$34 003,00","$2 780,00","$0,00","$7 200,00","$0,00","$0,00","$94,00","$838,00","$0,00","$10 912,00","$44 914,00"
"Paradigm High School","$48 000,00","$34 500,00","$35 750,00","$2 751,00","$0,00","$4 800,00","$600,00","$240,00","$712,00","$36,00","$0,00","$9 139,00","$44 889,00"
"Pinnacle Canyon Academy","$62 035,00","$24 621,00","$32 150,00","$2 448,00","$5 030,00","$16 914,00","$1 691,00","$414,00","$238,00","$33,00","$181,00","$26 949,00","$59 099,00"
"Providence Hall",,"$33 700,00","$34 711,00","$2 771,00","$2 535,00","$6 000,00","$0,00","$0,00","$126,00","$217,00","$0,00","$11 649,00","$46 360,00"
"Quail Run Primary School","$60 000,00","$33 900,00","$36 000,00","$2 616,00","$1 710,00","$6 033,00","$167,00","$352,00","$0,00","$34,00","$0,00","$10 913,00","$46 913,00"
"Quest Academy",,"$33 834,00","$33 834,00","$2 523,00","$0,00","$8 400,00","$0,00","$0,00","$86,00","$1 091,00","$0,00","$12 100,00","$45 934,00"
"Ranches Academy","$74 925,00",,"$39 778,00","$3 240,00","$2 118,00","$13 092,00","$0,00","$0,00","$123,00","$508,00","$0,00","$19 081,00","$58 859,00"
"Reagan Academy","$58 750,00","$32 200,00","$32 200,00","$2 592,00","$1 981,00","$6 519,00","$807,00","$0,00","$126,00","$96,00","$0,00","$12 120,00","$44 320,00"
"Renaissance Academy",,"$38 000,00","$37 682,00","$2 821,00","$2 581,00","$8 952,00","$0,00","$0,00","$15,00","$37,00","$0,00","$14 406,00","$52 088,00"
"Rockwell Charter High School","$60 000,00","$9 776,00","$34 800,00","$2 887,00","$5 933,00","$1 063,00","$0,00","$0,00","$0,00","$38,00","$0,00","$9 921,00","$44 721,00"
"Salt Lake Arts Academy","$81 810,00",,"$45 625,00","$3 582,00","$7 362,00","$7 200,00","$480,00","$0,00","$17,00","$47,00","$0,00","$18 688,00","$64 313,00"
"Salt Lake Center for Science Education",,"$41 811,00","$45 979,00",,,,,,,,,"$0,00","$45 979,00"
"Salt Lake School for The Performing Arts","$60 000,00",,"$39 687,00","$2 692,00","$1 759,00","$4 004,00","$0,00","$0,00","$106,00","$35,00","$0,00","$8 596,00","$48 283,00"
"Soldier Hollow Charter School","$98 000,00","$35 260,00","$41 289,00",,,,,,,,,"$0,00","$41 289,00"
"Spectrum Academy","$81 908,00","$33 013,00","$34 390,00",,,,,,,,,"$0,00","$34 390,00"
